gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period,income_rank,total_buy
F,52,478ab63a6e,2016-06-14,64000.0,50,50,2016,6,14,2021-07-26,1868,income_3th,156.07
F,45,dc9685d8f9,2018-02-22,42000.0,40,45,2018,2,22,2021-07-26,1250,income_4th,73.01999999999998
F,85,3f820d0634,2017-10-31,90000.0,80,85,2017,10,31,2021-07-26,1364,income_2th,105.19
M,73,3cc1e660bd,2018-05-15,38000.0,70,70,2018,5,15,2021-07-26,1168,income_4th,8.51
F,20,b9f66dfe21,2016-05-22,64000.0,20,20,2016,5,22,2021-07-26,1891,income_3th,147.99
M,22,9163e59705,2017-10-17,53000.0,20,20,2017,10,17,2021-07-26,1378,income_3th,18.51
F,43,7aec89b2f2,2016-01-19,68000.0,40,40,2016,1,19,2021-07-26,2015,income_3th,234.66
F,67,c2d87bae72,2017-10-19,56000.0,60,65,2017,10,19,2021-07-26,1376,income_3th,22.63
F,70,7d13a4dbfd,2016-07-12,81000.0,70,70,2016,7,12,2021-07-26,1840,income_2th,141.16000000000003
F,72,2eb00c2106,2017-06-06,74000.0,70,70,2017,6,6,2021-07-26,1511,income_3th,380.58
F,44,fd42bbc45f,2016-01-11,42000.0,40,40,2016,1,11,2021-07-26,2023,income_4th,92.72999999999999
M,47,2be369a184,2015-02-23,70000.0,40,45,2015,2,23,2021-07-26,2345,income_3th,650.95
F,75,384e45d852,2017-11-03,99000.0,70,75,2017,11,3,2021-07-26,1361,income_2th,829.55
M,27,37b5aee227,2017-08-25,55000.0,20,25,2017,8,25,2021-07-26,1431,income_3th,8.809999999999999
F,66,eba0f52ba2,2016-05-29,99000.0,60,65,2016,5,29,2021-07-26,1884,income_2th,379.28999999999996
M,38,23a674ce0e,2018-03-12,35000.0,30,35,2018,3,12,2021-07-26,1232,income_4th,29.079999999999995
M,89,35b3a8920b,2016-01-31,119000.0,80,85,2016,1,31,2021-07-26,2003,income_1th,270.55
F,73,e75f73fab8,2014-09-22,56000.0,70,70,2014,9,22,2021-07-26,2499,income_3th,123.14
F,22,2702f042f8,2018-04-26,32000.0,20,20,2018,4,26,2021-07-26,1187,income_4th,76.76
F,90,5164a5b8f9,2017-10-29,66000.0,90,90,2017,10,29,2021-07-26,1366,income_3th,322.55000000000007
M,29,7348577e36,2015-11-30,44000.0,20,25,2015,11,30,2021-07-26,2065,income_4th,31.8
F,51,84a6a41963,2015-08-29,92000.0,50,50,2015,8,29,2021-07-26,2158,income_2th,162.68
M,76,96a2c9f3b1,2017-11-18,34000.0,70,75,2017,11,18,2021-07-26,1346,income_4th,81.94999999999999
F,46,cb96e2cccc,2016-07-13,70000.0,40,45,2016,7,13,2021-07-26,1839,income_3th,179.73999999999998
F,53,25417089cb,2018-04-12,91000.0,50,50,2018,4,12,2021-07-26,1201,income_2th,81.61
F,67,4ddaa5065f,2017-12-24,85000.0,60,65,2017,12,24,2021-07-26,1310,income_2th,146.79000000000002
F,53,0b54aa822f,2017-11-23,74000.0,50,50,2017,11,23,2021-07-26,1341,income_3th,87.04
M,71,fcab32332c,2017-08-24,73000.0,70,70,2017,8,24,2021-07-26,1432,income_3th,185.76000000000005
M,35,9049d32b67,2018-06-21,53000.0,30,35,2018,6,21,2021-07-26,1131,income_3th,10.59
M,64,7c93c4f106,2017-10-17,63000.0,60,60,2017,10,17,2021-07-26,1378,income_3th,25.520000000000003
F,95,67b61dd504,2018-07-25,41000.0,90,95,2018,7,25,2021-07-26,1097,income_4th,121.44
M,65,43d7a676c9,2017-09-14,57000.0,60,65,2017,9,14,2021-07-26,1411,income_3th,27.62
M,78,f036408e1f,2014-09-09,64000.0,70,75,2014,9,9,2021-07-26,2512,income_3th,30.710000000000004
M,49,ae042c0c47,2014-09-19,33000.0,40,45,2014,9,19,2021-07-26,2502,income_4th,49.10000000000001
M,54,fdf46baf39,2017-04-25,75000.0,50,50,2017,4,25,2021-07-26,1553,income_3th,71.55
M,67,d8f2763e76,2013-08-05,97000.0,60,65,2013,8,5,2021-07-26,2912,income_2th,270.32
F,62,b8eb6d3dd3,2017-01-31,43000.0,60,60,2017,1,31,2021-07-26,1637,income_4th,120.62999999999998
M,35,738943cdec,2017-10-26,61000.0,30,35,2017,10,26,2021-07-26,1369,income_3th,86.64999999999999
F,73,a031b6fb8f,2015-10-09,55000.0,70,70,2015,10,9,2021-07-26,2117,income_3th,165.21999999999997
F,23,181a9ffd33,2015-11-22,31000.0,20,20,2015,11,22,2021-07-26,2073,income_4th,89.24000000000001
M,88,3e517aecc9,2017-09-27,52000.0,80,85,2017,9,27,2021-07-26,1398,income_3th,19.05
F,74,5cbf9a8a15,2016-03-27,92000.0,70,70,2016,3,27,2021-07-26,1947,income_2th,99.14
M,57,377b9773bf,2014-06-03,55000.0,50,55,2014,6,3,2021-07-26,2610,income_3th,38.42999999999999
M,50,0514e61ffb,2018-06-06,37000.0,50,50,2018,6,6,2021-07-26,1146,income_4th,7.87
M,25,2c240a2c74,2018-07-21,45000.0,20,25,2018,7,21,2021-07-26,1101,income_4th,18.939999999999998
F,60,1281df3965,2017-12-14,69000.0,60,60,2017,12,14,2021-07-26,1320,income_3th,254.21
F,40,9831341c3d,2014-05-24,33000.0,40,40,2014,5,24,2021-07-26,2620,income_4th,132.44
M,63,86d160e4f4,2014-01-20,79000.0,60,60,2014,1,20,2021-07-26,2744,income_2th,166.73999999999998
F,80,f6f6b5fdee,2017-06-22,79000.0,80,80,2017,6,22,2021-07-26,1495,income_2th,77.09
O,69,ec5220b1f1,2018-02-25,46000.0,60,65,2018,2,25,2021-07-26,1247,income_4th,22.22
M,29,d5d85629a7,2017-08-17,50000.0,20,25,2017,8,17,2021-07-26,1439,income_4th,135.05
F,51,2712ab2dbb,2017-11-08,70000.0,50,50,2017,11,8,2021-07-26,1356,income_3th,9.11
F,57,96a6e617b2,2016-03-26,74000.0,50,55,2016,3,26,2021-07-26,1948,income_3th,245.77999999999997
F,50,fc70e24adc,2016-08-22,106000.0,50,50,2016,8,22,2021-07-26,1799,income_1th,278.34
M,62,c854415dc9,2018-06-25,46000.0,60,60,2018,6,25,2021-07-26,1127,income_4th,6.63
M,20,39d20ed201,2017-08-02,58000.0,20,20,2017,8,2,2021-07-26,1454,income_3th,233.51999999999998
F,63,61dc3aeeb2,2016-02-13,34000.0,60,60,2016,2,13,2021-07-26,1990,income_4th,151.85
M,30,0d8ed20660,2016-06-07,49000.0,30,30,2016,6,7,2021-07-26,1875,income_4th,32.7
F,26,ec20ec4979,2017-10-23,48000.0,20,25,2017,10,23,2021-07-26,1372,income_4th,75.30999999999999
F,62,74c1406fb3,2017-05-03,64000.0,60,60,2017,5,3,2021-07-26,1545,income_3th,133.63
M,25,6aebaf984f,2017-04-23,32000.0,20,25,2017,4,23,2021-07-26,1555,income_4th,51.85999999999999
F,28,059df2ccba,2017-11-05,43000.0,20,25,2017,11,5,2021-07-26,1359,income_4th,10.989999999999998
F,68,47ce5043ee,2016-03-16,89000.0,60,65,2016,3,16,2021-07-26,1958,income_2th,273.45
M,75,fcaba919f6,2014-02-03,92000.0,70,75,2014,2,3,2021-07-26,2730,income_2th,162.09
M,26,ed127151cf,2018-07-07,70000.0,20,25,2018,7,7,2021-07-26,1115,income_3th,13.26
F,52,dc3c8a1742,2015-12-07,54000.0,50,50,2015,12,7,2021-07-26,2058,income_3th,39.84
M,54,af65587f70,2016-10-20,113000.0,50,50,2016,10,20,2021-07-26,1740,income_1th,118.96
M,79,99e14ce9b7,2016-11-25,101000.0,70,75,2016,11,25,2021-07-26,1704,income_1th,117.32000000000001
M,28,1c04235d9a,2018-07-02,47000.0,20,25,2018,7,2,2021-07-26,1120,income_4th,30.83
M,55,609a44418b,2015-10-09,62000.0,50,55,2015,10,9,2021-07-26,2117,income_3th,256.12
M,27,55b54d4142,2018-01-12,59000.0,20,25,2018,1,12,2021-07-26,1291,income_3th,19.97
F,21,570a49383d,2015-01-23,36000.0,20,20,2015,1,23,2021-07-26,2376,income_4th,52.17
F,61,9281788a6a,2018-03-18,64000.0,60,60,2018,3,18,2021-07-26,1226,income_3th,96.66
M,40,9990ee2342,2016-07-21,59000.0,40,40,2016,7,21,2021-07-26,1831,income_3th,172.91999999999996
M,67,43a1ff5a74,2018-01-19,36000.0,60,65,2018,1,19,2021-07-26,1284,income_4th,9.84
F,66,563a535e24,2017-12-14,88000.0,60,65,2017,12,14,2021-07-26,1320,income_2th,171.74
M,55,9ca7ccb9ef,2017-11-16,31000.0,50,55,2017,11,16,2021-07-26,1348,income_4th,17.62
M,70,9be805c548,2015-10-25,46000.0,70,70,2015,10,25,2021-07-26,2101,income_4th,14.629999999999999
F,19,e4762356dd,2016-07-30,62000.0,10,15,2016,7,30,2021-07-26,1822,income_3th,53.370000000000005
F,55,22c01c0918,2016-06-18,78000.0,50,55,2016,6,18,2021-07-26,1864,income_2th,298.97
M,54,f136a036ca,2018-01-12,63000.0,50,50,2018,1,12,2021-07-26,1291,income_3th,168.70000000000002
M,67,ae446077b3,2017-03-24,66000.0,60,65,2017,3,24,2021-07-26,1585,income_3th,151.72
F,35,329baea6cd,2017-02-08,41000.0,30,35,2017,2,8,2021-07-26,1629,income_4th,140.97
O,57,f7a03e03b6,2017-10-21,87000.0,50,55,2017,10,21,2021-07-26,1374,income_2th,35.4
F,62,fb31984c46,2016-02-05,99000.0,60,60,2016,2,5,2021-07-26,1998,income_2th,182.73000000000002
M,32,c4875ed3bb,2017-09-06,35000.0,30,30,2017,9,6,2021-07-26,1419,income_4th,13.06
M,43,aa4d0ea86b,2017-08-12,68000.0,40,40,2017,8,12,2021-07-26,1444,income_3th,41.64
M,19,55b7b860b3,2018-02-09,49000.0,10,15,2018,2,9,2021-07-26,1263,income_4th,18.28
M,46,3d0fece0ce,2017-11-19,51000.0,40,45,2017,11,19,2021-07-26,1345,income_3th,10.96
M,70,f5f6af4cc5,2018-06-17,43000.0,70,70,2018,6,17,2021-07-26,1135,income_4th,9.620000000000001
O,82,39617ba92d,2017-12-11,46000.0,80,80,2017,12,11,2021-07-26,1323,income_4th,29.220000000000002
M,67,fd75302f18,2017-09-15,65000.0,60,65,2017,9,15,2021-07-26,1410,income_3th,150.67
M,61,1a49aea485,2017-10-18,37000.0,60,60,2017,10,18,2021-07-26,1377,income_4th,325.33
M,52,cca97319a0,2015-08-31,85000.0,50,50,2015,8,31,2021-07-26,2156,income_2th,55.50999999999999
F,63,685bdb99ec,2017-10-29,79000.0,60,60,2017,10,29,2021-07-26,1366,income_2th,223.73
F,90,d3bffca556,2016-07-22,119000.0,90,90,2016,7,22,2021-07-26,1830,income_1th,277.76
F,54,ab161e0d82,2015-08-29,75000.0,50,50,2015,8,29,2021-07-26,2158,income_3th,122.96000000000001
M,71,d1afef3bb1,2017-07-28,53000.0,70,70,2017,7,28,2021-07-26,1459,income_3th,16.18
M,22,13032878f5,2017-12-20,53000.0,20,20,2017,12,20,2021-07-26,1314,income_3th,15.709999999999999
M,24,fe6aa84b08,2018-06-05,46000.0,20,20,2018,6,5,2021-07-26,1147,income_4th,13.709999999999999
F,25,7f417d6b1a,2014-03-16,68000.0,20,25,2014,3,16,2021-07-26,2689,income_3th,47.96000000000001
F,74,7997baebfd,2018-01-08,53000.0,70,70,2018,1,8,2021-07-26,1295,income_3th,41.78
F,53,891ce7b686,2016-08-25,100000.0,50,50,2016,8,25,2021-07-26,1796,income_2th,236.72000000000003
F,66,9293e60990,2016-07-10,51000.0,60,65,2016,7,10,2021-07-26,1842,income_3th,92.33999999999999
F,74,6ee8f0c8b1,2016-09-09,82000.0,70,70,2016,9,9,2021-07-26,1781,income_2th,177.92
F,43,9d3cd9fcde,2018-07-22,60000.0,40,40,2018,7,22,2021-07-26,1100,income_3th,88.05
M,55,09840ad0df,2017-10-06,41000.0,50,55,2017,10,6,2021-07-26,1389,income_4th,5.59
M,40,0c6ef3d7dd,2016-06-30,69000.0,40,40,2016,6,30,2021-07-26,1852,income_3th,189.66000000000003
F,64,32100e4e90,2018-05-17,66000.0,60,60,2018,5,17,2021-07-26,1166,income_3th,57.120000000000005
M,42,dc71eebf11,2014-09-02,32000.0,40,40,2014,9,2,2021-07-26,2519,income_4th,20.07
F,65,5e7f3b6e76,2017-12-02,60000.0,60,65,2017,12,2,2021-07-26,1332,income_3th,128.54
M,34,438754025d,2018-04-15,41000.0,30,30,2018,4,15,2021-07-26,1198,income_4th,11.55
M,27,6fbd611055,2017-04-15,67000.0,20,25,2017,4,15,2021-07-26,1563,income_3th,47.9
F,64,57511dc653,2018-06-13,51000.0,60,60,2018,6,13,2021-07-26,1139,income_3th,52.36
F,33,89e71ea899,2016-10-19,36000.0,30,30,2016,10,19,2021-07-26,1741,income_4th,46.91
M,60,408d9cb496,2017-09-12,68000.0,60,60,2017,9,12,2021-07-26,1413,income_3th,28.439999999999998
F,63,62a18972d8,2017-08-10,77000.0,60,60,2017,8,10,2021-07-26,1446,income_2th,93.67
F,53,7ab18944c3,2016-04-14,44000.0,50,50,2016,4,14,2021-07-26,1929,income_4th,88.35000000000001
F,88,30ab390d40,2016-01-02,116000.0,80,85,2016,1,2,2021-07-26,2032,income_1th,128.33
F,89,2bb9ae13af,2016-01-29,71000.0,80,85,2016,1,29,2021-07-26,2005,income_3th,55.93
M,27,8f45a5974d,2015-08-30,73000.0,20,25,2015,8,30,2021-07-26,2157,income_3th,305.69000000000005
F,59,3c33fa8926,2017-10-09,71000.0,50,55,2017,10,9,2021-07-26,1386,income_3th,72.79
M,44,cefb3db55c,2018-01-01,46000.0,40,40,2018,1,1,2021-07-26,1302,income_4th,4.96
M,36,3af27298ab,2016-11-23,56000.0,30,35,2016,11,23,2021-07-26,1706,income_3th,53.42
M,49,b2ecdd8b29,2017-12-29,55000.0,40,45,2017,12,29,2021-07-26,1305,income_3th,48.66
F,35,c259c5ceb0,2016-06-01,41000.0,30,35,2016,6,1,2021-07-26,1881,income_4th,209.32999999999998
M,64,54d60cf626,2018-01-27,57000.0,60,60,2018,1,27,2021-07-26,1276,income_3th,3.09
M,50,fad67e30e0,2014-09-17,35000.0,50,50,2014,9,17,2021-07-26,2504,income_4th,15.09
M,64,54b38aa97c,2018-03-10,65000.0,60,60,2018,3,10,2021-07-26,1234,income_3th,9.14
F,47,f7a4d1d7be,2016-08-28,66000.0,40,45,2016,8,28,2021-07-26,1793,income_3th,199.08999999999997
M,27,c767d7616b,2017-12-15,69000.0,20,25,2017,12,15,2021-07-26,1319,income_3th,195.75
F,43,aedba933c4,2017-01-14,84000.0,40,40,2017,1,14,2021-07-26,1654,income_2th,120.59
M,89,c6015e690c,2018-03-08,88000.0,80,85,2018,3,8,2021-07-26,1236,income_2th,47.83
F,48,1661fd9fb3,2013-09-06,35000.0,40,45,2013,9,6,2021-07-26,2880,income_4th,33.2
O,42,19210a7001,2016-10-27,58000.0,40,40,2016,10,27,2021-07-26,1733,income_3th,45.96
F,65,7539eacefc,2017-10-04,102000.0,60,65,2017,10,4,2021-07-26,1391,income_1th,21.6
F,43,e0cf04bd71,2016-11-13,67000.0,40,40,2016,11,13,2021-07-26,1716,income_3th,57.05
F,51,89719ea684,2016-10-28,112000.0,50,50,2016,10,28,2021-07-26,1732,income_1th,211.2
M,39,5b71399c43,2017-06-05,42000.0,30,35,2017,6,5,2021-07-26,1512,income_4th,42.89000000000001
M,48,a704e15092,2018-07-19,70000.0,40,45,2018,7,19,2021-07-26,1103,income_3th,79.72
M,68,6754504014,2014-03-30,69000.0,60,65,2014,3,30,2021-07-26,2675,income_3th,162.43
M,59,7c0a8f9b19,2017-02-04,34000.0,50,55,2017,2,4,2021-07-26,1633,income_4th,41.05
F,33,3bee268f10,2018-06-28,35000.0,30,30,2018,6,28,2021-07-26,1124,income_4th,13.2
M,25,26fcd3c2c2,2016-01-12,59000.0,20,25,2016,1,12,2021-07-26,2022,income_3th,66.58999999999999
M,66,ad7e224e85,2015-05-08,55000.0,60,65,2015,5,8,2021-07-26,2271,income_3th,47.550000000000004
F,80,952ebb382d,2014-12-29,64000.0,80,80,2014,12,29,2021-07-26,2401,income_3th,59.93000000000001
F,58,36747348fb,2017-11-25,73000.0,50,55,2017,11,25,2021-07-26,1339,income_3th,196.05999999999997
F,52,bd920b7b03,2017-01-12,97000.0,50,50,2017,1,12,2021-07-26,1656,income_2th,184.59
F,38,9aeae2cbe2,2017-12-19,84000.0,30,35,2017,12,19,2021-07-26,1315,income_2th,47.120000000000005
M,22,50a2b91918,2017-11-11,61000.0,20,20,2017,11,11,2021-07-26,1353,income_3th,71.33000000000001
F,50,3f9029ee39,2017-03-11,82000.0,50,50,2017,3,11,2021-07-26,1598,income_2th,201.78000000000003
M,59,b94e988ed6,2018-03-18,57000.0,50,55,2018,3,18,2021-07-26,1226,income_3th,21.08
M,27,fea0d1e7c8,2017-12-01,55000.0,20,25,2017,12,1,2021-07-26,1333,income_3th,129.0
F,58,89d303af64,2016-10-10,88000.0,50,55,2016,10,10,2021-07-26,1750,income_2th,208.70000000000002
F,36,37f7c5629f,2017-10-09,39000.0,30,35,2017,10,9,2021-07-26,1386,income_4th,55.29
F,61,9670cd6311,2016-07-27,106000.0,60,60,2016,7,27,2021-07-26,1825,income_1th,100.60000000000001
M,52,2e5b856461,2018-04-23,64000.0,50,50,2018,4,23,2021-07-26,1190,income_3th,26.21
M,46,991e1092ad,2016-04-04,32000.0,40,45,2016,4,4,2021-07-26,1939,income_4th,158.73
F,61,e2a8952a0a,2018-04-12,111000.0,60,60,2018,4,12,2021-07-26,1201,income_1th,111.91
F,36,d7d5dc9730,2018-06-24,64000.0,30,35,2018,6,24,2021-07-26,1128,income_3th,20.86
M,38,cfac8da70c,2016-02-23,64000.0,30,35,2016,2,23,2021-07-26,1980,income_3th,47.95
M,27,a778089b56,2018-03-13,31000.0,20,25,2018,3,13,2021-07-26,1231,income_4th,27.229999999999997
M,55,392a50ac00,2018-04-25,85000.0,50,55,2018,4,25,2021-07-26,1188,income_2th,58.959999999999994
M,70,870d8277c0,2017-05-05,52000.0,70,70,2017,5,5,2021-07-26,1543,income_3th,35.800000000000004
M,89,ed79f35c79,2018-07-19,74000.0,80,85,2018,7,19,2021-07-26,1103,income_3th,42.68000000000001
M,55,fc7dbed900,2018-05-09,57000.0,50,55,2018,5,9,2021-07-26,1174,income_3th,175.48
M,60,4a985493e3,2018-06-16,63000.0,60,60,2018,6,16,2021-07-26,1136,income_3th,18.0
M,76,6fd0fff2a0,2016-01-15,60000.0,70,75,2016,1,15,2021-07-26,2019,income_3th,101.51
F,50,ea80e80e15,2017-01-24,82000.0,50,50,2017,1,24,2021-07-26,1644,income_2th,86.94999999999999
M,54,0837711825,2018-01-29,55000.0,50,50,2018,1,29,2021-07-26,1274,income_3th,6.79
F,49,55d77afdd5,2016-11-20,88000.0,40,45,2016,11,20,2021-07-26,1709,income_2th,127.35
O,68,6a17ce8eff,2017-10-18,57000.0,60,65,2017,10,18,2021-07-26,1377,income_3th,268.49
F,25,be85e0f528,2016-04-12,69000.0,20,25,2016,4,12,2021-07-26,1931,income_3th,187.48
F,88,f27e921ee8,2016-07-29,80000.0,80,85,2016,7,29,2021-07-26,1823,income_2th,163.51
M,26,1126f32b64,2018-01-12,40000.0,20,25,2018,1,12,2021-07-26,1291,income_4th,5.999999999999999
M,68,1739cf3e7a,2014-06-30,38000.0,60,65,2014,6,30,2021-07-26,2583,income_4th,58.18000000000001
M,40,6b05f96fe4,2016-10-14,85000.0,40,40,2016,10,14,2021-07-26,1746,income_2th,151.1
F,50,4a5960fb3b,2017-08-06,65000.0,50,50,2017,8,6,2021-07-26,1450,income_3th,65.24000000000001
M,56,596bd8f29e,2017-05-12,61000.0,50,55,2017,5,12,2021-07-26,1536,income_3th,78.61
M,58,2bbae8d151,2018-02-24,62000.0,50,55,2018,2,24,2021-07-26,1248,income_3th,41.39
F,79,da20295eb3,2018-03-07,41000.0,70,75,2018,3,7,2021-07-26,1237,income_4th,107.36000000000001
M,27,fc8c1c028c,2016-02-22,69000.0,20,25,2016,2,22,2021-07-26,1981,income_3th,217.49
F,48,ab85a0c256,2017-11-19,72000.0,40,45,2017,11,19,2021-07-26,1345,income_3th,136.0
M,29,2423ad34c8,2017-05-02,38000.0,20,25,2017,5,2,2021-07-26,1546,income_4th,135.09
F,84,824f23da8c,2017-03-11,118000.0,80,80,2017,3,11,2021-07-26,1598,income_1th,162.91
F,86,9ae9bceb0c,2018-06-05,68000.0,80,85,2018,6,5,2021-07-26,1147,income_3th,33.53
F,37,9fc020a356,2018-04-26,45000.0,30,35,2018,4,26,2021-07-26,1187,income_4th,10.41
F,58,a2b2d8659d,2016-12-25,70000.0,50,55,2016,12,25,2021-07-26,1674,income_3th,155.65
F,53,c7525e27e2,2018-01-23,113000.0,50,50,2018,1,23,2021-07-26,1280,income_1th,38.900000000000006
M,65,eb5ed42bda,2014-01-11,48000.0,60,65,2014,1,11,2021-07-26,2753,income_4th,37.33
F,55,93ad37ec69,2018-01-02,33000.0,50,55,2018,1,2,2021-07-26,1301,income_4th,151.14000000000001
M,79,7442737db4,2015-11-15,102000.0,70,75,2015,11,15,2021-07-26,2080,income_1th,282.65
M,76,533c24cdc0,2017-02-28,72000.0,70,75,2017,2,28,2021-07-26,1609,income_3th,240.32999999999998
M,77,f67a8c1484,2017-10-16,50000.0,70,75,2017,10,16,2021-07-26,1379,income_4th,60.36999999999999
M,52,497661c41c,2015-10-23,82000.0,50,50,2015,10,23,2021-07-26,2103,income_2th,101.77
F,58,e181c5fdee,2016-07-24,82000.0,50,55,2016,7,24,2021-07-26,1828,income_2th,271.63
M,70,c67aa77af3,2018-02-08,90000.0,70,70,2018,2,8,2021-07-26,1264,income_2th,128.82999999999998
M,42,bcd9fbbb25,2015-05-30,73000.0,40,40,2015,5,30,2021-07-26,2249,income_3th,50.599999999999994
M,50,95e9420244,2017-02-09,43000.0,50,50,2017,2,9,2021-07-26,1628,income_4th,136.95
F,57,d808a466b9,2018-06-05,90000.0,50,55,2018,6,5,2021-07-26,1147,income_2th,46.26
F,42,3b9ebae44a,2017-09-03,45000.0,40,40,2017,9,3,2021-07-26,1422,income_4th,103.67
M,47,8546396e46,2017-10-24,31000.0,40,45,2017,10,24,2021-07-26,1371,income_4th,25.15
F,68,0f0d1325cd,2016-03-31,66000.0,60,65,2016,3,31,2021-07-26,1943,income_3th,179.07000000000005
M,47,4aa37c271d,2017-11-04,68000.0,40,45,2017,11,4,2021-07-26,1360,income_3th,108.43
M,63,8451b02773,2016-07-02,55000.0,60,60,2016,7,2,2021-07-26,1850,income_3th,176.69
F,55,d24391f6da,2017-12-02,39000.0,50,55,2017,12,2,2021-07-26,1332,income_4th,2.17
F,23,df4fd1a7d2,2016-02-21,35000.0,20,20,2016,2,21,2021-07-26,1982,income_4th,116.56
M,35,52f3d00658,2018-01-06,55000.0,30,35,2018,1,6,2021-07-26,1297,income_3th,38.33
F,45,c0dd8c73b3,2017-12-11,70000.0,40,45,2017,12,11,2021-07-26,1323,income_3th,16.21
F,59,1e6f7c2016,2018-04-02,55000.0,50,55,2018,4,2,2021-07-26,1211,income_3th,42.519999999999996
M,80,ef65dd061f,2018-07-14,89000.0,80,80,2018,7,14,2021-07-26,1108,income_2th,1054.06
M,19,85075c1419,2017-08-31,49000.0,10,15,2017,8,31,2021-07-26,1425,income_4th,13.48
F,74,9ca3e1ee57,2015-12-31,84000.0,70,70,2015,12,31,2021-07-26,2034,income_2th,945.25
M,20,48dbc372c7,2018-02-10,31000.0,20,20,2018,2,10,2021-07-26,1262,income_4th,16.5
M,45,f14ae6296b,2016-08-21,63000.0,40,45,2016,8,21,2021-07-26,1800,income_3th,81.03999999999999
F,92,711ddbe357,2017-09-13,86000.0,90,90,2017,9,13,2021-07-26,1412,income_2th,143.46
M,21,b1e5000082,2017-09-21,46000.0,20,20,2017,9,21,2021-07-26,1404,income_4th,66.22
M,53,2fac89b60f,2017-10-12,60000.0,50,50,2017,10,12,2021-07-26,1383,income_3th,24.270000000000003
M,84,16bb0c6f3b,2016-12-08,95000.0,80,80,2016,12,8,2021-07-26,1691,income_2th,226.88
M,21,00aee28bbb,2018-01-06,59000.0,20,20,2018,1,6,2021-07-26,1297,income_3th,20.53
M,64,2ecc1d321e,2017-10-20,51000.0,60,60,2017,10,20,2021-07-26,1375,income_3th,41.25
M,76,78d968c803,2015-09-21,44000.0,70,75,2015,9,21,2021-07-26,2135,income_4th,169.16
M,64,c1f57b2c8e,2017-01-29,75000.0,60,60,2017,1,29,2021-07-26,1639,income_3th,42.55000000000001
F,59,6e181712f6,2017-11-30,90000.0,50,55,2017,11,30,2021-07-26,1334,income_2th,63.870000000000005
M,42,1b280e5d01,2017-09-14,61000.0,40,40,2017,9,14,2021-07-26,1411,income_3th,122.61000000000001
M,57,bd43932a58,2015-09-13,76000.0,50,55,2015,9,13,2021-07-26,2143,income_2th,93.77000000000001
F,70,264f876fe2,2017-01-19,36000.0,70,70,2017,1,19,2021-07-26,1649,income_4th,167.89000000000001
M,49,03e507f56b,2014-02-24,77000.0,40,45,2014,2,24,2021-07-26,2709,income_2th,287.44
F,68,1335347b43,2018-06-21,73000.0,60,65,2018,6,21,2021-07-26,1131,income_3th,73.75
F,47,06131d1c0a,2016-12-10,59000.0,40,45,2016,12,10,2021-07-26,1689,income_3th,120.02
F,56,9061463d5d,2015-02-23,54000.0,50,55,2015,2,23,2021-07-26,2345,income_3th,127.74
M,20,bb272cd4ca,2013-11-16,40000.0,20,20,2013,11,16,2021-07-26,2809,income_4th,54.1
M,60,a3c2a505d6,2015-09-16,71000.0,60,60,2015,9,16,2021-07-26,2140,income_3th,257.93
F,64,d74a0d662c,2017-08-22,67000.0,60,60,2017,8,22,2021-07-26,1434,income_3th,67.5
M,67,f3b5a0743b,2016-07-05,92000.0,60,65,2016,7,5,2021-07-26,1847,income_2th,222.79000000000002
F,31,659c2598aa,2018-05-19,46000.0,30,30,2018,5,19,2021-07-26,1164,income_4th,27.85
F,47,45979ca39d,2017-12-09,72000.0,40,45,2017,12,9,2021-07-26,1325,income_3th,189.14000000000001
F,60,cec6feb950,2017-08-03,58000.0,60,60,2017,8,3,2021-07-26,1453,income_3th,84.17999999999999
M,26,3e9a640a3d,2018-04-04,70000.0,20,25,2018,4,4,2021-07-26,1209,income_3th,13.360000000000001
F,32,02b7a80a32,2017-10-30,34000.0,30,30,2017,10,30,2021-07-26,1365,income_4th,400.15999999999997
M,35,306fcc2f32,2018-04-01,69000.0,30,35,2018,4,1,2021-07-26,1212,income_3th,23.4
M,55,f3d42b8e20,2015-03-23,34000.0,50,55,2015,3,23,2021-07-26,2317,income_4th,32.080000000000005
M,41,aec682c418,2017-03-27,64000.0,40,40,2017,3,27,2021-07-26,1582,income_3th,38.769999999999996
F,69,fff3ba4757,2015-09-20,83000.0,60,65,2015,9,20,2021-07-26,2136,income_2th,580.98
M,56,5e9e648ac1,2017-06-28,79000.0,50,55,2017,6,28,2021-07-26,1489,income_2th,113.7
M,23,b008527a63,2014-02-21,32000.0,20,20,2014,2,21,2021-07-26,2712,income_4th,185.41
F,45,ee8651d8fd,2018-05-18,36000.0,40,45,2018,5,18,2021-07-26,1165,income_4th,21.580000000000002
F,65,2c84eb07bc,2016-03-18,83000.0,60,65,2016,3,18,2021-07-26,1956,income_2th,971.24
M,59,e039a7776e,2017-09-13,73000.0,50,55,2017,9,13,2021-07-26,1412,income_3th,213.9
F,65,c9f052334b,2016-07-05,72000.0,60,65,2016,7,5,2021-07-26,1847,income_3th,311.06
M,34,2dab8c385a,2014-10-09,61000.0,30,30,2014,10,9,2021-07-26,2482,income_3th,68.89
F,52,f3acf14291,2016-04-29,68000.0,50,50,2016,4,29,2021-07-26,1914,income_3th,94.34
