gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period
F,92,30f564f21a,2017-10-19,87000.0,90,90,2017,10,19,2021-07-26,1376
F,65,842f630949,2018-01-12,80000.0,60,65,2018,1,12,2021-07-26,1291
M,62,bd91b42ebd,2017-08-05,40000.0,60,60,2017,8,5,2021-07-26,1451
F,81,0246f8fdf0,2018-04-01,79000.0,80,80,2018,4,1,2021-07-26,1212
M,53,2022184e5e,2014-03-16,70000.0,50,50,2014,3,16,2021-07-26,2689
F,55,4acef5f30b,2016-02-02,75000.0,50,55,2016,2,2,2021-07-26,2001
M,61,3a4d1e41db,2018-02-26,35000.0,60,60,2018,2,26,2021-07-26,1246
M,32,9f6907ec4e,2017-11-24,68000.0,30,30,2017,11,24,2021-07-26,1340
M,54,b93783eb82,2017-06-18,71000.0,50,50,2017,6,18,2021-07-26,1499
M,65,c4cc8a7a10,2014-12-30,50000.0,60,65,2014,12,30,2021-07-26,2400
F,65,fa38365493,2017-03-03,88000.0,60,65,2017,3,3,2021-07-26,1606
F,72,3019637618,2018-06-16,93000.0,70,70,2018,6,16,2021-07-26,1136
M,48,d77012df51,2016-09-09,78000.0,40,45,2016,9,9,2021-07-26,1781
M,58,2d6ed5cd4f,2017-12-04,54000.0,50,55,2017,12,4,2021-07-26,1330
F,79,ce1579c557,2016-05-24,72000.0,70,75,2016,5,24,2021-07-26,1889
F,56,d40b855e10,2018-01-02,90000.0,50,55,2018,1,2,2021-07-26,1301
F,44,22212a9457,2017-10-27,53000.0,40,40,2017,10,27,2021-07-26,1368
M,55,7dc62a0a17,2017-08-14,57000.0,50,55,2017,8,14,2021-07-26,1442
M,33,0009655768,2017-04-21,72000.0,30,30,2017,4,21,2021-07-26,1557
F,24,b62a7b6eff,2016-01-13,72000.0,20,20,2016,1,13,2021-07-26,2021
F,48,daa9206b6c,2017-08-08,75000.0,40,45,2017,8,8,2021-07-26,1448
F,56,7b32d67348,2017-06-06,118000.0,50,55,2017,6,6,2021-07-26,1511
M,55,a4ab755ad5,2017-09-30,32000.0,50,55,2017,9,30,2021-07-26,1395
F,70,9729664011,2018-04-27,84000.0,70,70,2018,4,27,2021-07-26,1186
M,62,77cc94689f,2017-08-16,55000.0,60,60,2017,8,16,2021-07-26,1440
F,58,ff7cb44e72,2015-11-02,39000.0,50,55,2015,11,2,2021-07-26,2093
M,62,c7448f5fe0,2017-08-04,52000.0,60,60,2017,8,4,2021-07-26,1452
F,84,693fe2f8e2,2017-08-10,100000.0,80,80,2017,8,10,2021-07-26,1446
F,38,28f9666945,2018-04-11,44000.0,30,35,2018,4,11,2021-07-26,1202
M,60,e4d95c80a1,2018-06-15,85000.0,60,60,2018,6,15,2021-07-26,1137
M,54,2b05fa3fb6,2017-10-20,60000.0,50,50,2017,10,20,2021-07-26,1375
F,59,64ae595aca,2016-08-12,103000.0,50,55,2016,8,12,2021-07-26,1809
M,83,62811a8718,2017-11-23,103000.0,80,80,2017,11,23,2021-07-26,1341
M,64,8ca462f119,2017-05-03,54000.0,60,60,2017,5,3,2021-07-26,1545
F,47,6e89f03e9b,2015-11-01,41000.0,40,45,2015,11,1,2021-07-26,2094
M,50,b4298bee37,2018-01-21,46000.0,50,50,2018,1,21,2021-07-26,1282
M,48,4dbbeeaf72,2017-11-17,64000.0,40,45,2017,11,17,2021-07-26,1347
F,26,2593fc0f13,2017-06-08,41000.0,20,25,2017,6,8,2021-07-26,1509
F,83,361aa97b97,2017-10-19,41000.0,80,80,2017,10,19,2021-07-26,1376
F,90,60f30fc1cd,2017-12-03,89000.0,90,90,2017,12,3,2021-07-26,1331
F,60,79501c8698,2017-08-11,97000.0,60,60,2017,8,11,2021-07-26,1445
F,51,f31e27cdcd,2017-01-13,85000.0,50,50,2017,1,13,2021-07-26,1655
M,40,cdbc4f8a3f,2017-10-21,50000.0,40,40,2017,10,21,2021-07-26,1374
M,40,667e1e1a4c,2017-11-29,70000.0,40,40,2017,11,29,2021-07-26,1335
F,62,5cccab62e4,2016-04-06,101000.0,60,60,2016,4,6,2021-07-26,1937
M,37,0eb1e01549,2017-11-05,64000.0,30,35,2017,11,5,2021-07-26,1359
F,53,9c20b8e0ba,2017-01-29,91000.0,50,50,2017,1,29,2021-07-26,1639
F,50,6d5d091c50,2018-03-13,55000.0,50,50,2018,3,13,2021-07-26,1231
F,39,d9728f9274,2018-05-19,74000.0,30,35,2018,5,19,2021-07-26,1164
M,36,d2f79806cd,2017-09-14,36000.0,30,35,2017,9,14,2021-07-26,1411
M,61,8f97634e6d,2017-11-12,54000.0,60,60,2017,11,12,2021-07-26,1352
F,56,9f6c8e642b,2016-10-16,72000.0,50,55,2016,10,16,2021-07-26,1744
F,61,d335181e52,2017-08-28,115000.0,60,60,2017,8,28,2021-07-26,1428
M,22,a25edbd49e,2016-04-28,35000.0,20,20,2016,4,28,2021-07-26,1915
M,62,233c4cb4bd,2015-05-24,74000.0,60,60,2015,5,24,2021-07-26,2255
M,70,71de1f697e,2017-04-30,84000.0,70,70,2017,4,30,2021-07-26,1548
M,83,a91155f8df,2018-07-25,96000.0,80,80,2018,7,25,2021-07-26,1097
F,94,a104f5f8f4,2016-09-29,31000.0,90,90,2016,9,29,2021-07-26,1761
M,46,7dc394b25e,2017-09-06,50000.0,40,45,2017,9,6,2021-07-26,1419
F,69,a1f4f26d61,2016-01-08,48000.0,60,65,2016,1,8,2021-07-26,2026
M,59,5ab73cc199,2017-08-04,43000.0,50,55,2017,8,4,2021-07-26,1452
M,81,1a8e25a2ab,2016-08-25,120000.0,80,80,2016,8,25,2021-07-26,1796
F,51,87ab31c624,2018-02-06,43000.0,50,50,2018,2,6,2021-07-26,1266
F,48,559621f9ef,2017-11-13,54000.0,40,45,2017,11,13,2021-07-26,1351
M,60,5725b27c56,2017-01-28,92000.0,60,60,2017,1,28,2021-07-26,1640
M,40,889bc16ffb,2016-08-29,65000.0,40,40,2016,8,29,2021-07-26,1792
F,24,3044e3dd38,2017-01-22,61000.0,20,20,2017,1,22,2021-07-26,1646
M,43,e4d1de549d,2017-06-03,87000.0,40,40,2017,6,3,2021-07-26,1514
M,60,916d513074,2017-10-14,83000.0,60,60,2017,10,14,2021-07-26,1381
F,22,00c91f31f5,2016-11-15,49000.0,20,20,2016,11,15,2021-07-26,1714
M,24,5f770fb2f5,2018-02-12,53000.0,20,20,2018,2,12,2021-07-26,1260
F,94,ffb62bee02,2014-08-23,75000.0,90,90,2014,8,23,2021-07-26,2529
F,26,7f8ca265c7,2017-04-30,57000.0,20,25,2017,4,30,2021-07-26,1548
M,26,a1cafa5285,2018-07-03,62000.0,20,25,2018,7,3,2021-07-26,1119
M,52,7b0fe46288,2017-11-21,56000.0,50,50,2017,11,21,2021-07-26,1343
M,73,72c2e3e12e,2013-11-12,41000.0,70,70,2013,11,12,2021-07-26,2813
M,48,bc9967a675,2016-01-04,72000.0,40,45,2016,1,4,2021-07-26,2030
F,65,ce41b96c7e,2014-03-08,39000.0,60,65,2014,3,8,2021-07-26,2697
F,38,4adca6b032,2016-03-29,85000.0,30,35,2016,3,29,2021-07-26,1945
M,49,e907946cc0,2016-05-14,50000.0,40,45,2016,5,14,2021-07-26,1899
M,54,1c91559691,2018-04-29,35000.0,50,50,2018,4,29,2021-07-26,1184
M,54,7af65c35e0,2017-04-08,57000.0,50,50,2017,4,8,2021-07-26,1570
M,58,f2ecbad774,2014-07-16,40000.0,50,55,2014,7,16,2021-07-26,2567
M,51,f062a057cf,2018-04-17,65000.0,50,50,2018,4,17,2021-07-26,1196
M,49,08243bf7c8,2017-02-18,39000.0,40,45,2017,2,18,2021-07-26,1619
F,55,9b62e14219,2016-07-28,86000.0,50,55,2016,7,28,2021-07-26,1824
M,57,1a44317508,2017-03-20,31000.0,50,55,2017,3,20,2021-07-26,1589
M,61,b1a6c6b97e,2017-03-31,52000.0,60,60,2017,3,31,2021-07-26,1578
F,67,0a080bbcdf,2017-09-11,43000.0,60,65,2017,9,11,2021-07-26,1414
F,35,b743f13d0b,2016-04-30,34000.0,30,35,2016,4,30,2021-07-26,1913
M,33,2fc9777afb,2016-07-09,32000.0,30,30,2016,7,9,2021-07-26,1843
F,53,df1d11f19a,2018-06-05,110000.0,50,50,2018,6,5,2021-07-26,1147
F,61,6e4c670bbc,2015-11-28,87000.0,60,60,2015,11,28,2021-07-26,2067
M,59,44e7bf6460,2015-02-20,59000.0,50,55,2015,2,20,2021-07-26,2348
F,51,5159b0aa36,2016-01-04,114000.0,50,50,2016,1,4,2021-07-26,2030
M,63,e28c08db1c,2016-04-08,38000.0,60,60,2016,4,8,2021-07-26,1935
M,86,4f4777c7c2,2017-09-21,80000.0,80,85,2017,9,21,2021-07-26,1404
M,49,85eeecda70,2017-06-18,56000.0,40,45,2017,6,18,2021-07-26,1499
F,71,36d0673ea9,2018-03-19,96000.0,70,70,2018,3,19,2021-07-26,1225
M,62,2bc8d01ed0,2018-01-29,80000.0,60,60,2018,1,29,2021-07-26,1274
M,78,505672e0c1,2017-12-09,33000.0,70,75,2017,12,9,2021-07-26,1325
F,54,051b92f5a9,2017-02-26,108000.0,50,50,2017,2,26,2021-07-26,1611
M,68,9c400c1288,2017-08-26,37000.0,60,65,2017,8,26,2021-07-26,1430
F,88,4903da2095,2017-07-12,89000.0,80,85,2017,7,12,2021-07-26,1475
M,33,120b9858bd,2018-07-22,72000.0,30,30,2018,7,22,2021-07-26,1100
M,42,fd3e1ba4df,2015-12-24,36000.0,40,40,2015,12,24,2021-07-26,2041
M,28,d99b06a124,2017-11-23,70000.0,20,25,2017,11,23,2021-07-26,1341
F,51,96439f0f52,2016-10-30,50000.0,50,50,2016,10,30,2021-07-26,1730
M,41,82eafcbf42,2017-11-29,97000.0,40,40,2017,11,29,2021-07-26,1335
F,37,2b484f47c6,2017-10-13,58000.0,30,35,2017,10,13,2021-07-26,1382
M,61,6f6d0c5ddf,2014-11-04,55000.0,60,60,2014,11,4,2021-07-26,2456
M,46,0a225a4c15,2016-05-22,53000.0,40,45,2016,5,22,2021-07-26,1891
M,18,13e0d78874,2016-06-03,36000.0,10,15,2016,6,3,2021-07-26,1879
M,20,7048354f73,2017-12-16,43000.0,20,20,2017,12,16,2021-07-26,1318
F,86,68f47ee760,2018-01-09,100000.0,80,85,2018,1,9,2021-07-26,1294
F,53,ca9555b11b,2016-03-21,83000.0,50,50,2016,3,21,2021-07-26,1953
F,69,33b3748d50,2017-05-30,75000.0,60,65,2017,5,30,2021-07-26,1518
M,28,cc88449944,2015-02-18,50000.0,20,25,2015,2,18,2021-07-26,2350
M,67,6406abad8e,2016-02-28,79000.0,60,65,2016,2,28,2021-07-26,1975
F,41,97b82b1dc5,2017-08-25,50000.0,40,40,2017,8,25,2021-07-26,1431
F,78,b4e8429289,2017-04-21,99000.0,70,75,2017,4,21,2021-07-26,1557
M,47,2f91bf9a9b,2018-02-06,39000.0,40,45,2018,2,6,2021-07-26,1266
M,32,343a60997e,2017-09-20,73000.0,30,30,2017,9,20,2021-07-26,1405
M,68,df31a3f6f0,2017-06-20,33000.0,60,65,2017,6,20,2021-07-26,1497
O,52,a8bd3006b5,2017-03-07,60000.0,50,50,2017,3,7,2021-07-26,1602
F,62,ff7fdf8299,2016-12-03,57000.0,60,60,2016,12,3,2021-07-26,1696
M,38,b14675e3d5,2015-10-19,38000.0,30,35,2015,10,19,2021-07-26,2107
F,74,c28c6b608e,2016-06-27,86000.0,70,70,2016,6,27,2021-07-26,1855
M,25,2e2c0c6ab3,2015-12-05,60000.0,20,25,2015,12,5,2021-07-26,2060
M,22,39d1604b57,2017-10-30,49000.0,20,20,2017,10,30,2021-07-26,1365
M,24,7c32f0e77e,2018-06-08,35000.0,20,20,2018,6,8,2021-07-26,1144
M,52,346f86f3e8,2017-04-08,97000.0,50,50,2017,4,8,2021-07-26,1570
F,54,7529b34560,2018-05-27,36000.0,50,50,2018,5,27,2021-07-26,1156
M,62,4aa1f99e13,2015-08-14,54000.0,60,60,2015,8,14,2021-07-26,2173
M,65,9df0134f61,2018-03-30,55000.0,60,65,2018,3,30,2021-07-26,1214
M,48,f8f76e7cdf,2017-10-25,37000.0,40,45,2017,10,25,2021-07-26,1370
F,64,e94d092858,2017-12-28,93000.0,60,60,2017,12,28,2021-07-26,1306
M,33,af04f04b84,2018-01-28,73000.0,30,30,2018,1,28,2021-07-26,1275
M,25,5529078d0e,2016-02-20,48000.0,20,25,2016,2,20,2021-07-26,1983
F,56,5c2a03a9d0,2016-12-26,118000.0,50,55,2016,12,26,2021-07-26,1673
M,66,b4460153df,2018-02-08,65000.0,60,65,2018,2,8,2021-07-26,1264
M,31,30230e56be,2015-12-18,44000.0,30,30,2015,12,18,2021-07-26,2047
F,53,6d2dd677fd,2018-06-08,108000.0,50,50,2018,6,8,2021-07-26,1144
M,47,efff6930f3,2015-11-20,85000.0,40,45,2015,11,20,2021-07-26,2075
M,67,95f5953809,2013-09-24,74000.0,60,65,2013,9,24,2021-07-26,2862
M,75,447600a689,2017-05-31,112000.0,70,75,2017,5,31,2021-07-26,1517
F,50,c5809b646a,2018-01-07,91000.0,50,50,2018,1,7,2021-07-26,1296
M,89,1661d8802f,2015-10-05,84000.0,80,85,2015,10,5,2021-07-26,2121
M,57,bf95390fdc,2016-01-03,104000.0,50,55,2016,1,3,2021-07-26,2031
M,44,a55443a41b,2016-10-21,96000.0,40,40,2016,10,21,2021-07-26,1739
M,38,96f00d6a43,2016-04-07,51000.0,30,35,2016,4,7,2021-07-26,1936
F,85,9f8dfe338a,2017-09-29,74000.0,80,85,2017,9,29,2021-07-26,1396
M,66,1502fe1c8f,2016-11-20,103000.0,60,65,2016,11,20,2021-07-26,1709
M,34,338cc645ee,2016-10-24,64000.0,30,30,2016,10,24,2021-07-26,1736
M,64,89df998636,2016-04-10,55000.0,60,60,2016,4,10,2021-07-26,1933
M,43,5e44bc50a2,2018-07-23,99000.0,40,40,2018,7,23,2021-07-26,1099
M,59,8e92f0cd54,2016-11-18,54000.0,50,55,2016,11,18,2021-07-26,1711
F,62,a42ed50acc,2016-10-17,33000.0,60,60,2016,10,17,2021-07-26,1743
F,58,67e081bada,2016-03-07,64000.0,50,55,2016,3,7,2021-07-26,1967
M,22,af41ddef5c,2016-02-11,33000.0,20,20,2016,2,11,2021-07-26,1992
F,63,87ef3f7155,2017-08-08,34000.0,60,60,2017,8,8,2021-07-26,1448
M,48,a68b996696,2018-01-12,37000.0,40,45,2018,1,12,2021-07-26,1291
M,61,023411b8a4,2018-05-23,59000.0,60,60,2018,5,23,2021-07-26,1160
M,75,e46c47a54e,2017-08-28,36000.0,70,75,2017,8,28,2021-07-26,1428
M,47,28765f822e,2017-06-01,43000.0,40,45,2017,6,1,2021-07-26,1516
M,41,81c7b04f3f,2017-02-16,88000.0,40,40,2017,2,16,2021-07-26,1621
F,62,f883a0574d,2016-11-25,95000.0,60,60,2016,11,25,2021-07-26,1704
M,42,5f1b9037df,2018-02-02,61000.0,40,40,2018,2,2,2021-07-26,1270
F,72,acdf9a19b6,2017-02-01,91000.0,70,70,2017,2,1,2021-07-26,1636
M,52,6994d35034,2017-05-06,68000.0,50,50,2017,5,6,2021-07-26,1542
M,69,8cd0edcb3a,2017-05-16,54000.0,60,65,2017,5,16,2021-07-26,1532
M,48,0dffd428f9,2015-06-01,87000.0,40,45,2015,6,1,2021-07-26,2247
M,66,fc96a24cd4,2017-09-20,72000.0,60,65,2017,9,20,2021-07-26,1405
M,62,d35e585fbb,2015-12-11,54000.0,60,60,2015,12,11,2021-07-26,2054
M,30,88876be460,2018-01-30,55000.0,30,30,2018,1,30,2021-07-26,1273
F,47,c005f7a6e7,2018-04-01,93000.0,40,45,2018,4,1,2021-07-26,1212
M,64,9fb51cd4e0,2018-02-03,88000.0,60,60,2018,2,3,2021-07-26,1269
M,84,9be03ba7d3,2014-05-04,98000.0,80,80,2014,5,4,2021-07-26,2640
M,39,919ee63437,2017-04-27,71000.0,30,35,2017,4,27,2021-07-26,1551
M,58,a397c7e5c6,2018-05-07,36000.0,50,55,2018,5,7,2021-07-26,1176
F,38,59b7fa7b6b,2017-11-21,38000.0,30,35,2017,11,21,2021-07-26,1343
M,23,d609a3e0dc,2017-11-06,74000.0,20,20,2017,11,6,2021-07-26,1358
F,41,ba370543f3,2017-09-28,64000.0,40,40,2017,9,28,2021-07-26,1397
M,65,7378619969,2014-04-06,53000.0,60,65,2014,4,6,2021-07-26,2668
F,74,30d56c0b77,2016-12-31,45000.0,70,70,2016,12,31,2021-07-26,1668
M,69,298453e8cb,2017-05-13,72000.0,60,65,2017,5,13,2021-07-26,1535
F,56,de035e26f1,2017-05-20,54000.0,50,55,2017,5,20,2021-07-26,1528
F,42,17e3df325d,2017-11-29,60000.0,40,40,2017,11,29,2021-07-26,1335
F,52,4b34026864,2017-05-12,79000.0,50,50,2017,5,12,2021-07-26,1536
F,67,d2dd721516,2016-03-20,63000.0,60,65,2016,3,20,2021-07-26,1954
F,64,a03b06dbe5,2015-09-03,84000.0,60,60,2015,9,3,2021-07-26,2153
F,67,1b60c7f201,2017-10-28,102000.0,60,65,2017,10,28,2021-07-26,1367
M,55,2698c067b1,2017-10-14,52000.0,50,55,2017,10,14,2021-07-26,1381
M,54,822415f7e4,2018-04-20,59000.0,50,50,2018,4,20,2021-07-26,1193
M,46,43a5c67728,2015-02-24,39000.0,40,45,2015,2,24,2021-07-26,2344
F,83,7cb8642dbb,2017-09-04,43000.0,80,80,2017,9,4,2021-07-26,1421
F,28,d0227d0bb2,2017-04-13,59000.0,20,25,2017,4,13,2021-07-26,1565
M,51,2210c471e1,2017-08-07,81000.0,50,50,2017,8,7,2021-07-26,1449
F,43,155a3cc864,2017-04-14,87000.0,40,40,2017,4,14,2021-07-26,1564
M,32,cf919c8037,2017-08-19,71000.0,30,30,2017,8,19,2021-07-26,1437
F,59,cce85db37b,2017-11-08,70000.0,50,55,2017,11,8,2021-07-26,1356
M,46,998c265dbf,2018-01-21,63000.0,40,45,2018,1,21,2021-07-26,1282
M,40,5867e3c0c7,2018-01-10,59000.0,40,40,2018,1,10,2021-07-26,1293
M,63,f1378b2fc6,2018-03-21,54000.0,60,60,2018,3,21,2021-07-26,1223
M,59,97ec7fd299,2016-01-24,38000.0,50,55,2016,1,24,2021-07-26,2010
F,39,2349cf9c53,2016-11-16,32000.0,30,35,2016,11,16,2021-07-26,1713
M,57,a2a18d707b,2016-04-04,76000.0,50,55,2016,4,4,2021-07-26,1939
M,48,6e6132df38,2017-08-03,59000.0,40,45,2017,8,3,2021-07-26,1453
M,18,68012cc999,2017-10-10,67000.0,10,15,2017,10,10,2021-07-26,1385
F,58,9e59453b4e,2014-09-14,93000.0,50,55,2014,9,14,2021-07-26,2507
M,47,37c9f91a58,2017-10-27,51000.0,40,45,2017,10,27,2021-07-26,1368
F,59,2a97895667,2018-06-01,101000.0,50,55,2018,6,1,2021-07-26,1151
M,67,b44607ee72,2016-03-31,77000.0,60,65,2016,3,31,2021-07-26,1943
F,28,ac8bd2bd4d,2017-01-07,62000.0,20,25,2017,1,7,2021-07-26,1661
M,52,d0138f4b10,2014-04-15,92000.0,50,50,2014,4,15,2021-07-26,2659
M,43,5572f20d70,2017-07-27,57000.0,40,40,2017,7,27,2021-07-26,1460
O,53,1e211df9e9,2016-01-23,97000.0,50,50,2016,1,23,2021-07-26,2011
M,73,14c4f0dfa9,2017-08-23,52000.0,70,70,2017,8,23,2021-07-26,1433
F,37,9e473f9bd1,2016-02-16,57000.0,30,35,2016,2,16,2021-07-26,1987
M,37,3a75488ebd,2018-04-05,47000.0,30,35,2018,4,5,2021-07-26,1208
M,50,761517f458,2017-08-19,55000.0,50,50,2017,8,19,2021-07-26,1437
M,48,4c5cf94009,2017-08-27,71000.0,40,45,2017,8,27,2021-07-26,1429
M,33,bad8cb8365,2018-05-01,44000.0,30,30,2018,5,1,2021-07-26,1182
M,81,6a001ab9e3,2015-07-28,73000.0,80,80,2015,7,28,2021-07-26,2190
F,53,06ed8e3c64,2017-10-23,114000.0,50,50,2017,10,23,2021-07-26,1372
M,52,46889a6766,2013-12-23,35000.0,50,50,2013,12,23,2021-07-26,2772
F,36,04ca4f4a66,2016-01-27,58000.0,30,35,2016,1,27,2021-07-26,2007
F,59,cd6e9cd2d2,2016-02-22,75000.0,50,55,2016,2,22,2021-07-26,1981
M,62,11e2d9f6ef,2017-05-20,72000.0,60,60,2017,5,20,2021-07-26,1528
M,71,9e3888d67f,2015-06-02,69000.0,70,70,2015,6,2,2021-07-26,2246
M,51,a33e1e7f26,2017-11-16,106000.0,50,50,2017,11,16,2021-07-26,1348
F,73,2b3712f73f,2017-03-03,80000.0,70,70,2017,3,3,2021-07-26,1606
F,65,c166df1c32,2018-01-12,80000.0,60,65,2018,1,12,2021-07-26,1291
F,63,72238c93bd,2017-11-27,108000.0,60,60,2017,11,27,2021-07-26,1337
M,42,1852fd4c32,2014-01-02,57000.0,40,40,2014,1,2,2021-07-26,2762
F,81,c2b04827cf,2016-07-01,77000.0,80,80,2016,7,1,2021-07-26,1851
F,73,c55ef5e61c,2017-12-21,100000.0,70,70,2017,12,21,2021-07-26,1313
M,53,27846a455b,2017-11-26,81000.0,50,50,2017,11,26,2021-07-26,1338
M,31,2366b169d6,2016-05-14,35000.0,30,30,2016,5,14,2021-07-26,1899
M,35,00e8d701c5,2018-02-26,70000.0,30,35,2018,2,26,2021-07-26,1246
M,84,1e8fa28875,2014-02-15,63000.0,80,80,2014,2,15,2021-07-26,2718
M,40,a9930daf12,2017-12-10,56000.0,40,40,2017,12,10,2021-07-26,1324
F,62,3a87d23281,2017-09-24,72000.0,60,60,2017,9,24,2021-07-26,1401
M,21,9bff0ab1de,2018-02-23,70000.0,20,20,2018,2,23,2021-07-26,1249
F,74,e6fc7edd5e,2018-01-20,104000.0,70,70,2018,1,20,2021-07-26,1283
F,64,9db9f9106f,2015-08-22,102000.0,60,60,2015,8,22,2021-07-26,2165
M,56,2ca6147969,2018-01-22,47000.0,50,55,2018,1,22,2021-07-26,1281
F,67,f69c83277b,2017-12-30,86000.0,60,65,2017,12,30,2021-07-26,1304
M,50,5ec9aeb4a4,2015-11-24,37000.0,50,50,2015,11,24,2021-07-26,2071
F,85,d34b7763e2,2017-02-26,96000.0,80,85,2017,2,26,2021-07-26,1611
M,68,201c6079c8,2017-12-03,52000.0,60,65,2017,12,3,2021-07-26,1331
F,24,b6c74d35e2,2018-01-12,56000.0,20,20,2018,1,12,2021-07-26,1291
F,40,d41708667b,2016-09-04,61000.0,40,40,2016,9,4,2021-07-26,1786
F,26,369f3b7009,2016-12-07,72000.0,20,25,2016,12,7,2021-07-26,1692
F,45,5998802507,2018-03-17,61000.0,40,45,2018,3,17,2021-07-26,1227
M,59,85d67cfaf7,2017-06-06,105000.0,50,55,2017,6,6,2021-07-26,1511
F,74,691070d951,2016-01-14,91000.0,70,70,2016,1,14,2021-07-26,2020
M,51,5d700ca89b,2015-06-24,61000.0,50,50,2015,6,24,2021-07-26,2224
M,39,5ffe185c9f,2018-07-14,45000.0,30,35,2018,7,14,2021-07-26,1108
F,65,59071e549a,2015-09-15,87000.0,60,65,2015,9,15,2021-07-26,2141
M,76,e5d9e755d4,2017-10-19,109000.0,70,75,2017,10,19,2021-07-26,1376
F,42,2ac20da42e,2018-02-23,39000.0,40,40,2018,2,23,2021-07-26,1249
F,60,f953bac2e0,2018-02-13,92000.0,60,60,2018,2,13,2021-07-26,1259
M,71,3bbeb88ccb,2018-04-17,64000.0,70,70,2018,4,17,2021-07-26,1196
F,83,7729cff13e,2017-12-07,94000.0,80,80,2017,12,7,2021-07-26,1327
M,57,90afa41287,2013-08-18,65000.0,50,55,2013,8,18,2021-07-26,2899
F,47,11bfe79e5b,2017-12-21,33000.0,40,45,2017,12,21,2021-07-26,1313
F,55,1e1c90f7f2,2017-10-14,103000.0,50,55,2017,10,14,2021-07-26,1381
M,20,ffed75d3ab,2018-03-15,44000.0,20,20,2018,3,15,2021-07-26,1229
F,23,9c8acc324a,2016-12-02,61000.0,20,20,2016,12,2,2021-07-26,1697
M,78,c10dcc31b8,2018-07-25,103000.0,70,75,2018,7,25,2021-07-26,1097
M,24,e254821bfd,2018-07-06,54000.0,20,20,2018,7,6,2021-07-26,1116
F,71,10f65c8243,2018-02-21,52000.0,70,70,2018,2,21,2021-07-26,1251
M,80,e3d7fa1e32,2017-08-01,71000.0,80,80,2017,8,1,2021-07-26,1455
M,49,0ea1f0bb1b,2016-10-09,89000.0,40,45,2016,10,9,2021-07-26,1751
M,48,8dc160d006,2018-06-11,37000.0,40,45,2018,6,11,2021-07-26,1141
F,88,986e41e705,2015-10-25,71000.0,80,85,2015,10,25,2021-07-26,2101
M,54,d351650b4d,2017-03-27,61000.0,50,50,2017,3,27,2021-07-26,1582
M,46,5835a7842e,2017-11-23,67000.0,40,45,2017,11,23,2021-07-26,1341
F,53,ca208e412e,2018-07-17,98000.0,50,50,2018,7,17,2021-07-26,1105
M,61,cd9df56e15,2018-05-25,35000.0,60,60,2018,5,25,2021-07-26,1158
M,50,a0c665be4a,2013-08-15,66000.0,50,50,2013,8,15,2021-07-26,2902
F,26,5f0915fb81,2018-03-05,54000.0,20,25,2018,3,5,2021-07-26,1239
F,61,33c0f47831,2017-08-18,84000.0,60,60,2017,8,18,2021-07-26,1438
M,80,f3a513ed02,2017-07-16,50000.0,80,80,2017,7,16,2021-07-26,1471
F,22,d6424aac00,2016-01-19,52000.0,20,20,2016,1,19,2021-07-26,2015
F,62,4e9ca31f5b,2016-09-25,107000.0,60,60,2016,9,25,2021-07-26,1765
F,101,d2fdc2be8a,2015-05-26,99000.0,100,100,2015,5,26,2021-07-26,2253
M,83,cf03e26617,2018-05-09,40000.0,80,80,2018,5,9,2021-07-26,1174
M,37,6ad02da4d1,2016-04-10,52000.0,30,35,2016,4,10,2021-07-26,1933
O,20,d42ea44391,2015-07-02,61000.0,20,20,2015,7,2,2021-07-26,2216
M,37,3e449851dc,2018-02-20,54000.0,30,35,2018,2,20,2021-07-26,1252
F,60,6b55fde85b,2017-11-15,58000.0,60,60,2017,11,15,2021-07-26,1349
M,20,4ea8b6e046,2018-05-21,49000.0,20,20,2018,5,21,2021-07-26,1162
M,85,dc5b1efbc3,2017-11-28,70000.0,80,85,2017,11,28,2021-07-26,1336
M,44,468bb5ff07,2017-10-10,77000.0,40,40,2017,10,10,2021-07-26,1385
M,81,2bddb0daae,2018-03-02,60000.0,80,80,2018,3,2,2021-07-26,1242
M,55,54f2fd27d5,2017-10-10,108000.0,50,55,2017,10,10,2021-07-26,1385
M,73,40843c1d01,2016-03-01,63000.0,70,70,2016,3,1,2021-07-26,1973
M,64,8f808e51d5,2017-10-27,41000.0,60,60,2017,10,27,2021-07-26,1368
M,74,9f53a01bf9,2015-09-16,45000.0,70,70,2015,9,16,2021-07-26,2140
F,58,739e166b5c,2017-04-26,41000.0,50,55,2017,4,26,2021-07-26,1552
M,64,2c39fda360,2018-02-12,74000.0,60,60,2018,2,12,2021-07-26,1260
F,44,5e2305fd5d,2017-11-01,72000.0,40,40,2017,11,1,2021-07-26,1363
M,64,a2506fdc02,2018-05-10,42000.0,60,60,2018,5,10,2021-07-26,1173
M,68,7e2849c81e,2018-02-15,57000.0,60,65,2018,2,15,2021-07-26,1257
F,90,6a178900ec,2018-04-27,57000.0,90,90,2018,4,27,2021-07-26,1186
M,38,74325dadf8,2017-08-19,86000.0,30,35,2017,8,19,2021-07-26,1437
M,82,9d8b11f8ae,2015-11-10,76000.0,80,80,2015,11,10,2021-07-26,2085
F,91,58bf211b35,2018-05-17,74000.0,90,90,2018,5,17,2021-07-26,1166
F,78,053ba80f39,2013-08-24,36000.0,70,75,2013,8,24,2021-07-26,2893
